file,start,end,Loudness_sma3,alphaRatio_sma3,hammarbergIndex_sma3,slope0-500_sma3,slope500-1500_sma3,spectralFlux_sma3,mfcc1_sma3,mfcc2_sma3,mfcc3_sma3,mfcc4_sma3,F0semitoneFrom27.5Hz_sma3nz,jitterLocal_sma3nz,shimmerLocaldB_sma3nz,HNRdBACF_sma3nz,logRelF0-H1-H2_sma3nz,logRelF0-H1-A3_sma3nz,F1frequency_sma3nz,F1bandwidth_sma3nz,F1amplitudeLogRelF0_sma3nz,F2frequency_sma3nz,F2bandwidth_sma3nz,F2amplitudeLogRelF0_sma3nz,F3frequency_sma3nz,F3bandwidth_sma3nz,F3amplitudeLogRelF0_sma3nz
./testing/chicken.wav,0 days 00:00:02.810000,0 days 00:00:02.830000,0.44343844,-20.98758,20.984228,0.09127485,-0.0547441,0.3575355,37.99535,23.635778,17.08918,6.3855343,25.45047,0.0,0.0,5.619484,4.9900937,38.997356,725.88574,1067.8531,-2.575257,1858.192,559.43567,-27.076004,2836.4746,745.785,-33.629208
./testing/chicken.wav,0 days 00:00:02.820000,0 days 00:00:02.840000,0.41570923,-25.262186,26.576303,0.07834581,-0.06124556,0.3140299,39.965816,27.392258,10.591472,-2.5606608,25.369308,0.032831226,0.4676577,7.0977836,7.006971,37.018997,745.248,1008.2888,-7.4657307,1854.938,614.90375,-31.644861,2842.0217,720.69116,-31.723465
./testing/chicken.wav,0 days 00:00:02.830000,0 days 00:00:02.850000,0.39105138,-29.21292,31.73822,0.069133654,-0.06517842,0.229055,41.83266,30.435175,7.8968215,-7.139366,25.3535,0.024541818,0.70582944,7.539952,8.417349,36.71278,759.4121,954.1372,-12.668696,1879.8737,645.2969,-30.838036,2862.0725,654.46136,-31.912481
./testing/chicken.wav,0 days 00:00:02.840000,0 days 00:00:02.860000,0.37621227,-30.75711,33.816547,0.06690154,-0.06343808,0.1260328,42.216656,31.814209,7.793663,-8.223403,25.31753,0.024722116,0.4504008,7.4407144,9.171851,37.24695,764.85626,965.12274,-12.692993,1875.1738,752.8865,-28.282259,2818.028,557.7134,-33.240215
./testing/chicken.wav,0 days 00:00:02.850000,0 days 00:00:02.870000,0.36353818,-29.536217,33.305008,0.05470872,-0.061177786,0.121229984,41.539318,29.67824,9.972561,-4.5213237,25.19873,0.008799321,0.5868331,7.19434,9.8027,39.412197,754.2803,947.91187,-11.722409,1855.9144,689.54395,-25.228544,2820.5032,469.01724,-36.179813
./testing/chicken.wav,0 days 00:00:02.860000,0 days 00:00:02.880000,0.3522427,-27.826324,33.28673,0.047366362,-0.057142034,0.115670525,41.17499,27.768793,10.256245,0.13592513,25.013641,0.0062591084,0.43809405,6.8451295,10.765808,41.464466,747.0887,953.8066,-10.464188,1808.818,656.5424,-26.623846,2799.211,420.4147,-38.586887
./testing/chicken.wav,0 days 00:00:02.870000,0 days 00:00:02.890000,0.33174405,-26.75347,34.325016,0.04139662,-0.055131953,0.11839301,40.71503,25.76297,11.308742,1.7635807,24.797808,0.003649899,0.70207876,6.5941815,12.702525,42.287918,739.315,952.28174,-9.630146,1785.7106,574.0848,-28.447886,2836.2488,416.27432,-39.072163
./testing/chicken.wav,0 days 00:00:02.880000,0 days 00:00:02.900000,0.3127377,-26.766733,35.035404,0.03537984,-0.055525687,0.10518938,40.563076,26.427588,9.694114,4.6500564,24.61204,0.006409424,0.77693826,6.7632356,16.405573,43.016254,744.1054,968.7447,-10.228401,1779.7188,599.27716,-29.966894,2837.5774,435.82822,-38.74139
./testing/chicken.wav,0 days 00:00:02.890000,0 days 00:00:02.910000,0.29362184,-27.447512,36.25214,0.03425559,-0.0529819,0.11080307,40.368114,26.381075,8.3888035,7.0518594,24.552765,0.010211733,0.5751729,6.886679,20.61682,45.668716,751.60547,990.6667,-13.0787,1766.8785,643.3305,-33.671814,2832.0613,445.9453,-39.89761
./testing/chicken.wav,0 days 00:00:02.900000,0 days 00:00:02.920000,0.25467762,-29.566223,39.46492,0.025570014,-0.048902467,0.114722215,41.326504,28.4766,5.8698516,13.548646,24.658514,0.013125214,0.47703794,7.2303185,23.23403,49.481308,766.0657,1023.92596,-20.031115,1806.7246,719.18243,-38.774113,2867.0344,597.41455,-42.17416
